Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,03-07-2020 23:35,-25,133,8255,104,7320,831,32.42379133,,,1.25984252,36,AUS
Austria,03-07-2020 23:35,47.5162,14.5501,18050,705,16558,787,200.4130396,,,3.905817175,40,AUT
Canada,03-07-2020 23:35,60.001,-95.001,106896,8721,70200,27976,282.3775398,,,8.158396947,124,CAN
China,03-07-2020 23:35,30.5928,114.3055,84835,4641,79670,524,6.039469605,,,5.470619438,156,CHN
Denmark,03-07-2020 23:35,56.2639,9.5018,13032,606,12017,409,224.9921144,,,4.650092081,208,DNK
Finland,03-07-2020 23:35,61.9241,25.7482,7242,329,6700,213,130.7050819,,,4.542943938,246,FIN
France,03-07-2020 23:35,46.2276,2.2137,204222,29896,77185,97141,312.8711689,,,14.63897132,250,FRA
Germany,03-07-2020 23:35,51.165691,10.451526,196780,9010,180300,7470,234.8659997,,,4.578717349,276,DEU
Iceland,03-07-2020 23:35,64.9631,-19.0208,1855,10,1832,13,543.5897436,,,0.539083558,352,ISL
Ireland,03-07-2020 23:35,53.1424,-7.6921,25498,1740,23364,394,516.384233,,,6.824064633,372,IRL
Italy,03-07-2020 23:35,41.8719,12.5674,241184,34833,191467,14884,398.9029243,,,14.44250033,380,ITA
Netherlands,03-07-2020 23:35,52.3167,5.55,50546,6132,186,44228,294.9890554,,,12.13152376,528,NLD
Norway,03-07-2020 23:35,60.472,8.4689,8921,251,8138,532,164.5563876,,,2.813585921,578,NOR
Russia,03-07-2020 23:35,61.524,105.3188,666941,9844,437155,219942,457.0140596,,,1.475992629,643,RUS
Sweden,03-07-2020 23:35,60.1282,18.6435,71419,5420,,65999,707.1699242,,,7.589016928,752,SWE
Switzerland,03-07-2020 23:35,46.8182,8.2275,32101,1965,29200,936,370.9118069,,,6.121304632,756,CHE
United Kingdom,03-07-2020 23:35,55,-3,285787,44216,1375,240196,420.9807371,,,15.47166246,826,GBR
US,03-07-2020 23:35,40,-100,2793022,129405,790404,1825398,847.7413757,,,4.633153624,840,USA
Spain,03-07-2020 23:35,40.463667,-3.74922,250545,28385,150376,71785,535.8703087,,,11.32930212,724,ESP
Mexico,03-07-2020 23:35,23.6345,-102.5528,238511,29189,183757,25565,186.6395911,,,12.23800999,484,MEX
Chile,03-07-2020 23:35,-35.6751,-71.543,288089,6051,253343,28695,1507.040439,,,2.100392587,152,CHL
Brazil,03-07-2020 23:35,-14.235,-51.9253,1539081,61884,978042,499155,724.070982,,,4.020841008,76,BRA
Peru,03-07-2020 23:35,-9.19,-75.0152,295599,10226,185852,99521,896.5194123,,,3.459416304,604,PER
Colombia,03-07-2020 23:35,4.5709,-74.2973,106392,3851,44606,57935,209.0919218,,,3.619633055,170,COL
Japan,03-07-2020 23:35,36.204824,138.252924,19185,977,16721,1487,15.16883087,,,5.092520198,392,JPN
Ukraine,03-07-2020 23:35,48.3794,31.1656,47705,1227,21296,25182,109.0804932,,,2.572057436,804,UKR
India,03-07-2020 23:35,20.593684,78.96288,625544,18213,379892,227439,45.32913133,,,2.911545791,356,IND
Pakistan,03-07-2020 23:35,30.3753,69.3451,221896,4551,113623,103722,100.4543702,,,2.05096081,586,PAK
Afghanistan,03-07-2020 23:35,33.93911,67.709953,32324,819,17331,14174,83.03461994,,,2.533721074,4,AFG
Albania,03-07-2020 23:35,41.1533,20.1683,2752,72,1592,1088,95.62860518,,,2.61627907,8,ALB
Algeria,03-07-2020 23:35,28.0339,1.6596,15070,937,10832,3301,34.36634335,,,6.217650962,12,DZA
Andorra,03-07-2020 23:35,42.5063,1.5218,855,52,800,3,1106.581246,,,6.081871345,20,AND
Angola,03-07-2020 23:35,-11.2027,17.8739,328,18,107,203,0.997983708,,,5.487804878,24,AGO
Antigua and Barbuda,03-07-2020 23:35,17.0608,-61.7964,69,3,23,43,70.45992974,,,4.347826087,28,ATG
Argentina,03-07-2020 23:35,-38.4161,-63.6167,72786,1437,25224,46125,161.0460199,,,1.974280768,32,ARG
Armenia,03-07-2020 23:35,40.0691,45.0382,27320,469,15484,11367,921.9656632,,,1.716691069,51,ARM
Azerbaijan,03-07-2020 23:35,40.1431,47.5769,19267,235,10820,8212,190.0253226,,,1.219702081,31,AZE
Bahamas,03-07-2020 23:35,25.025885,-78.035889,104,11,89,4,26.44641549,,,10.57692308,44,BHS
Bahrain,03-07-2020 23:35,26.0275,50.55,28410,95,23318,4997,1669.621758,,,0.3343893,48,BHR
Bangladesh,03-07-2020 23:35,23.685,90.3563,156391,1968,68048,86375,94.96119127,,,1.258384434,50,BGD
Barbados,03-07-2020 23:35,13.1939,-59.5432,97,7,90,0,33.75427583,,,7.216494845,52,BRB
Belarus,03-07-2020 23:35,53.7098,27.9534,62997,412,49909,12676,666.682823,,,0.653999397,112,BLR
Belgium,03-07-2020 23:35,50.8333,4.469936,61727,9765,17073,34889,532.6060846,,,15.81965752,56,BEL
Belize,03-07-2020 23:35,17.1899,-88.4976,28,2,18,8,7.041881591,,,7.142857143,84,BLZ
Benin,03-07-2020 23:35,9.3077,2.3158,1199,21,333,845,9.890129651,,,1.75145955,204,BEN
Bhutan,03-07-2020 23:35,27.5142,90.4336,77,0,50,27,9.979108671,,,0,64,BTN
Bolivia,03-07-2020 23:35,-16.2902,-63.5887,35528,1271,10358,23899,304.3597339,,,3.577460032,68,BOL
Bosnia and Herzegovina,03-07-2020 23:35,43.9159,17.6791,4962,191,2550,2221,151.2429076,,,3.849254333,70,BIH
Botswana,03-07-2020 23:35,-22.3285,24.6849,277,1,29,247,11.77908893,,,0.36101083,72,BWA
Brunei,03-07-2020 23:35,4.5353,114.7277,141,3,138,0,32.22982379,,,2.127659574,96,BRN
Bulgaria,03-07-2020 23:35,42.7339,25.4858,5497,239,2892,2366,79.11122561,,,4.347826087,100,BGR
Burkina Faso,03-07-2020 23:35,12.2383,-1.5616,980,53,852,75,4.688259899,,,5.408163265,854,BFA
Burma,03-07-2020 23:35,21.9162,95.956,306,6,237,63,0.562398748,,,1.960784314,104,MMR
Burundi,03-07-2020 23:35,-3.3731,29.9189,170,1,115,54,1.429679009,,,0.588235294,108,BDI
Cabo Verde,03-07-2020 23:35,16.5388,-23.0418,1382,15,629,738,248.5665158,,,1.085383502,132,CPV
Cambodia,03-07-2020 23:35,11.55,104.9167,141,0,131,10,0.843353338,,,0,116,KHM
Cameroon,03-07-2020 23:35,3.848,11.5021,12592,313,10100,2179,47.43488477,,,2.48570521,120,CMR
Central African Republic,03-07-2020 23:35,6.6111,20.9394,3918,48,859,3011,81.12197615,,,1.225114855,140,CAF
Chad,03-07-2020 23:35,15.4542,18.7322,871,74,786,11,5.302614615,,,8.49598163,148,TCD
Comoros,03-07-2020 23:35,-11.6455,43.3333,309,7,241,61,35.53378297,,,2.265372168,174,COM
Congo (Brazzaville),03-07-2020 23:35,-0.228,15.8277,1557,44,501,1012,28.21627476,,,2.825947335,178,COG
Congo (Kinshasa),03-07-2020 23:35,-4.0383,21.7587,7311,179,2684,4448,8.163114549,,,2.448365477,180,COD
Costa Rica,03-07-2020 23:35,9.7489,-83.7534,4311,18,1657,2636,84.62708137,,,0.417536534,188,CRI
Cote d'Ivoire,03-07-2020 23:35,7.54,-5.5471,10244,70,4726,5448,38.83498826,,,0.683326825,384,CIV
Croatia,03-07-2020 23:35,45.1,15.2,3008,112,2168,728,73.27170845,,,3.723404255,191,HRV
Cuba,03-07-2020 23:35,21.521757,-77.781167,2361,86,2224,51,20.84470772,,,3.642524354,192,CUB
Cyprus,03-07-2020 23:35,35.1264,33.4299,999,19,839,141,82.74244406,,,1.901901902,196,CYP
Czechia,03-07-2020 23:35,49.8175,15.473,12319,353,7848,4118,115.0342768,,,2.865492329,203,CZE
Diamond Princess,03-07-2020 23:35,,,712,13,651,48,,,,1.825842697,9999,
Djibouti,03-07-2020 23:35,11.8251,42.5903,4736,55,4580,101,479.3512564,,,1.161317568,262,DJI
Dominica,03-07-2020 23:35,15.415,-61.371,18,0,18,0,25.00312539,,,0,212,DMA
Dominican Republic,03-07-2020 23:35,18.7357,-70.1627,35148,775,18392,15981,324.0072921,,,2.204961875,214,DOM
Ecuador,03-07-2020 23:35,-1.8312,-78.1834,60657,4700,28391,27566,343.8009053,,,7.748487396,218,ECU
Egypt,03-07-2020 23:35,26.820553,30.802498,72711,3201,19690,49820,71.05235177,,,4.402360028,818,EGY
